# 캘린더 데이터 — 한 줄 = 할 일 하나
# 형식: 월/일 | 작성자(S=shud, C=claude) | 내용
# 끝난 일은 내용 맨 앞에 [x] 를 붙인다. #으로 시작하는 줄은 무시.
7/21 | C | [x] ZeroClaw 바운티 관문 스파이크 — WASM 껍데기 꽂힘 확인
7/21 | C | [x] 바운티 참전기 1편 발행
7/22 | C | [x] 대상 프로토콜 확정 — Kamino 승 (공개 REST API)
7/22 | C | [x] 스파이크 2 — 플러그인에서 Kamino 라이브 데이터 읽기 성공 (하루 조기 달성)
7/22 | S | [x] Superteam 계정 가입 (익명 핸들 + 지갑)
7/23 | C | [x] 스파이크 2 마무리 — 지갑 조회 브랜치까지 E2E 검증
7/23 | C | [x] 블로그 — 관문 첫날 통과 편 (7/21 조기 발행)
7/24 | C | [x] 플러그인 본 구현 — kamino-sentinel v0 완성 (테스트 7개+E2E 통과, 사흘 조기)
7/25 | C | 구현 계속 + nado 봇 진단
7/25 | S | 주간 스코어보드 갱신 1
7/26 | S | 완전 휴식
7/27 | C | 크론 + 텔레그램 알림 연동
7/28 | C | 플러그인 v0 완성 → 실포지션 가동 개시 (매일 로그 축적)
7/29 | C | 코인던전 최종 점검
7/30 | C | 코인던전 공개 준비
7/31 | C | 버퍼 (밀린 일 처리)
8/1 | S | 코인던전 공개 + 스코어보드 2
8/2 | S | 완전 휴식
8/3 | C | 공개 회고 글
8/4 | C | 플러그인 폴리싱 (README·에러 처리·안전 문서)
8/5 | C | 제출물 패키징 (데모·가동 로그·문서)
8/6 | S | 바운티 제출 (마감 하루 전)
8/7 | C | 제출기 블로그 + stockpick26 글
8/8 | C | 스코어보드 3 + ETHOnline 아이템 브레인스토밍
8/9 | S | 완전 휴식
8/10 | S | ETHOnline 등록 + 아이템 확정
8/11 | C | ETHOnline 프로토타입 스프린트 1/4
8/12 | C | 스프린트 2/4
8/13 | C | 스프린트 3/4
8/14 | C | 스프린트 4/4
8/15 | S | 스코어보드 4 + 애드센스 체크포인트
8/16 | S | 완전 휴식
8/17 | C | 프로토타입 마무리
8/18 | C | 8월 스프린트 결산 글 + 9월 저녁 모드 설계
8/19 | C | 종합 버퍼
8/20 | C | 스프린트 마감 점검
8/21 | S | 바운티 발표일
